NANDO:2200199	MONDO:0002429
NANDO:2200024	MONDO:0004952
NANDO:1200477	MONDO:0019952
NANDO:2200397	MONDO:0019959
NANDO:2200394	MONDO:0019960
NANDO:1200776	MONDO:0019992
NANDO:2200349	MONDO:0019992
NANDO:2200280	MONDO:0020064
NANDO:1200645	MONDO:0020066
NANDO:2200607	MONDO:0020066
NANDO:1200953	MONDO:0020074
NANDO:1200861	MONDO:0020088
NANDO:2200623	MONDO:0020102
NANDO:1200486	MONDO:0020121
NANDO:2200095	MONDO:0006373
NANDO:2200079	MONDO:0006451
NANDO:2200021	MONDO:0020325
NANDO:1200963	MONDO:0020398
NANDO:2200274	MONDO:0020428
NANDO:1200899	MONDO:0020460
NANDO:2200314	MONDO:0020479
NANDO:2200365	MONDO:0020489
NANDO:2200812	MONDO:0020547
NANDO:1200998	MONDO:0017198
NANDO:2201013	MONDO:0017198
NANDO:2200889	MONDO:0017381
NANDO:2200595	MONDO:0100064
NANDO:2200679	MONDO:0020587
NANDO:1200611	MONDO:0020702
NANDO:2200988	MONDO:0020702
NANDO:2200684	MONDO:0044744
NANDO:2200936	MONDO:0018840
NANDO:2200272	MONDO:0020453
NANDO:1200588	MONDO:0020476
NANDO:2200018	MONDO:0020743
NANDO:1200011	MONDO:0022880
NANDO:1200913	MONDO:0028737
NANDO:2200930	MONDO:0028737
NANDO:2200884	MONDO:0044811
NANDO:2200019	MONDO:0044873
NANDO:2200692	MONDO:0044903
NANDO:2200023	MONDO:0044917
NANDO:1200334	MONDO:0000133
NANDO:2200708	MONDO:0000133
NANDO:1200215	MONDO:0000355
NANDO:2200862	MONDO:0000355
NANDO:1200936	MONDO:0000455
NANDO:1200522	MONDO:0000903
NANDO:1200491	MONDO:0001347
NANDO:1200368	MONDO:0004691
NANDO:2200153	MONDO:0004691
NANDO:1200705	MONDO:0004933
NANDO:2200249	MONDO:0004933
NANDO:1200002	MONDO:0004976
NANDO:2200044	MONDO:0005006
NANDO:2200655	MONDO:0005029
NANDO:2200040	MONDO:0005072
NANDO:2200060	MONDO:0005164
NANDO:1200439	MONDO:0005388
NANDO:2200049	MONDO:0005508
NANDO:2201014	MONDO:0005508
NANDO:2201015	MONDO:0005508
NANDO:1200911	MONDO:0005711
NANDO:2200210	MONDO:0005711
NANDO:1200430	MONDO:0006277
NANDO:2200396	MONDO:0006689
NANDO:1200675	MONDO:0007029
NANDO:2200185	MONDO:0007032
NANDO:1200877	MONDO:0007037
NANDO:2201009	MONDO:0007037
NANDO:1200227	MONDO:0007039
NANDO:1200667	MONDO:0007041
NANDO:2200844	MONDO:0007041
NANDO:2200848	MONDO:0007042
NANDO:1200323	MONDO:0007064
NANDO:2200696	MONDO:0007064
NANDO:1200214	MONDO:0007100
NANDO:1200888	MONDO:0007109
NANDO:2200828	MONDO:0007187
NANDO:1200284	MONDO:0007191
NANDO:1200611	MONDO:0007239
NANDO:2200988	MONDO:0007239
NANDO:2200755	MONDO:0007293
NANDO:1200479	MONDO:0007294
NANDO:2200870	MONDO:0007294
NANDO:1200044	MONDO:0007296
NANDO:2200444	MONDO:0007315
